"","siteName","code","lons","lats","elevs"
"1","Murrumbidgee 1","m1",148.970567,-36.293033,937
"2","Murrumbidgee 2","m2",149.2,-35.3088,639
"3","Murrumbidgee 3","m3",148.0365,-34.629867,333
"4","Murrumbidgee 4","m4",147.196183,-33.938267,258
"5","Murrumbidgee 5","m5",143.54863,-34.65837,62
"6","Murrumbidgee 6","m6",144.867,-34.547117,90
"7","Murrumbidgee 7","m7",146.07,-34.249,137
"8","Yanco 1","y1",145.84895,-34.62888,120
"9","Yanco 2","y2",146.11028,-34.65478,130
"10","Yanco 3","y3",146.4239,-34.6208,144
"11","Yanco 4","y4",146.02003,-34.71943,130
"12","Yanco 5","y5",146.29317,-34.72835,136
"13","Yanco 6","y6",145.86692,-34.84262,121
"14","Yanco 7","y7",146.1153,-34.85183,128
"15","Yanco 8","y8",146.41398,-34.84697,149
"16","Yanco 9","y9",146.01632,-34.96777,122
"17","Yanco 10","y10",146.30988,-35.00535,119
"18","Yanco 11","y11",145.93553,-35.10975,113
"19","Yanco 12","y12",146.16893,-35.0696,120
"20","Yanco 13","y13",146.30648,-35.09025,121
"21","Yanco A1","YA1",146.089695,-34.68425,130
"22","Yanco A3","YA3",146.08197,-34.73521,132
"23","Yanco A4a","YA4a",146.07937,-34.70601,131
"24","Yanco A4b","YA4b",146.10529,-34.70306,132
"25","Yanco A4c","YA4c",146.09425,-34.71421,132
"26","Yanco A4d","YA4d",146.07506,-34.7142,130
"27","Yanco A4e","YA4e",146.10297,-34.72139,132
"28","Yanco A5","YA5",146.127712,-34.712858,132
"29","Yanco A7a","YA7a",146.08197,-34.73521,130
"30","Yanco A7b","YA7b",146.09867,-34.73784,131
"31","Yanco A7d","YA7d",146.07777,-34.7544,129
"32","Yanco A7e","YA7e",146.09493,-34.75073,131
"33","Yanco A9","YA9",146.15364,-34.74138,133
"34","Yanco B1","YB1",146.27654,-34.94124,123
"35","Yanco B3","YB3",146.34015,-34.9427,126
"36","Yanco B5a","YB5a",146.30262,-34.96527,123
"37","Yanco B5b","YB5b",146.31843,-34.96337,123
"38","Yanco B5d","YB5d",146.29299,-34.98483,122
"39","Yanco B5e","YB5e",146.32052,-34.97971,121
"40","Yanco B7a","YB7a",146.26941,-34.98846,126
"41","Yanco B7c","YB7c",146.27852,-34.99838,125
"42","Yanco B7d","YB7d",146.2685,-35.005,126
"43","Yanco B7e","YB7e",146.28805,-35.00773,121
"44","Yanco B9","YB9",146.33978,-35.00217,121
"45","Kyeamba 1","k1",147.55912,-35.49322,437
"46","Kyeamba 2","k2",147.53052,-35.43525,351
"47","Kyeamba 3","k3",147.56893,-35.43408,318
"48","Kyeamba 4","k4",147.6,-35.42688,296
"49","Kyeamba 5","k5",147.60408,-35.41928,306
"50","Kyeamba 6","k6",147.4572,-35.38978,317
"51","Kyeamba 7","k7",147.56618,-35.39392,259
"52","Kyeamba 8","k8",147.34387,-35.31627,326
"53","Kyeamba 9","k9",147.43633,-35.31982,241
"54","Kyeamba 10","k10",147.5348,-35.32395,232
"55","Kyeamba 11","k11",147.42902,-35.27202,327
"56","Kyeamba 12","k12",147.485,-35.2275,220
"57","Kyeamba 13","k13",147.5333,-35.23887,261
"58","Kyeamba 14","k14",147.4974,-35.12493,184
"59","Adelong 1","a1",148.106488,-35.497492,772
"60","Adelong 2","a2",148.131626,-35.428312,595
"61","Adelong 3","a3",148.101076,-35.399688,472
"62","Adelong 4","a4",148.066082,-35.373106,457
"63","Adelong 5","a5",148.085427,-35.360194,379
