DataSetName,DataSetNodeID,site,siteID,sensorNames,sensorIDs,altitude,active,date,firstSlot,lastSlot,latitude,longitude,dn,manufacturer,slotInterval,timeZone,type
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 025cm,15853,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,25,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 035cm,15852,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,35,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 045cm,15854,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,45,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 055cm,15849,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,55,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 065cm,15851,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,65,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 075cm,15855,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,75,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 085cm,15850,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,85,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Enviropro SM 095cm,15856,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,95,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Calibr. Soil Moisture 010cm,15848,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,10,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Hyden Sum,15857,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,0,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC East Hyden - 54375,15283,Precipitation (SUM),15784,0.0,false,20170814T09:13:57,20170707T23:15:00,20170814T09:00:00,-32.4138,119.196,0,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 025cm,15741,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,25,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 035cm,15740,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,35,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 045cm,15746,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,45,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 055cm,15743,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,55,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 065cm,15745,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,65,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 075cm,15742,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,75,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 085cm,15739,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,85,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Enviropro SM 095cm,15738,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,95,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Calibr. Soil Moisture 010cm,15744,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,10,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Varley Sum,15751,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,0,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Karradale - 54369,15414,Daily rain 9am,15786,0.0,false,20170814T09:31:29,20170708T00:30:00,20170814T09:30:00,-32.8788,119.422,0,Adcon Telemetry,900,Australia/Perth,A755GSM
GRDC Sites,15153,GRDC Mt Heywood- 54950,15383,Daily rain 9am,15790,0.0,false,20170814T09:11:47,20170708T00:15:00,20170814T09:15:00,-33.4281,122.614,0,Adcon Telemetry,900,Australia/Perth,A755GSM
