SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
op35932,TRUE,785548,10cm D & D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op15376,TRUE,784284,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op26353,TRUE,784220,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op26357,TRUE,738676,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30334,TRUE,780134,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30335,TRUE,780130,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30336,TRUE,780126,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30337,TRUE,780122,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30338,TRUE,780118,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30339,TRUE,780114,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30340,TRUE,780110,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30341,TRUE,780106,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30345,TRUE,780142,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30346,TRUE,780146,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30347,TRUE,780150,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30348,TRUE,780154,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30349,TRUE,780158,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30350,TRUE,780162,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30353,TRUE,780174,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30344,TRUE,785493,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op33583,TRUE,785599,10cm D&D Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op30342,TRUE,780102,10cm D&D Moisture - Sth Wst,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op15382,TRUE,810709,10cm D&D Soil Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op26337,TRUE,794069,10cm D&D Soil Moisture,NA,NA,Soil-Moisture,NA,NA,TRUE,Percent
op15376,TRUE,784286,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op26353,TRUE,784298,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op26357,TRUE,738678,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30334,TRUE,780136,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30335,TRUE,780132,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30336,TRUE,780128,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30337,TRUE,780124,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30338,TRUE,780120,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30339,TRUE,780116,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30340,TRUE,780112,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30341,TRUE,780108,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30345,TRUE,780144,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30346,TRUE,780148,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30347,TRUE,780152,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30348,TRUE,780156,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30349,TRUE,780160,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30350,TRUE,780164,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30353,TRUE,780176,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30344,TRUE,785495,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op33583,TRUE,785601,10cm D&D Temp,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op30342,TRUE,780104,10cm D&D Temp - Sth Wst,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op15382,TRUE,810707,10cm D&D Temperature,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op26337,TRUE,794071,10cm D&D Temperature,NA,NA,Soil-Temperature,NA,NA,TRUE,Degrees-Celcius
op15376,TRUE,306323,19 Rainfall,NA,NA,Rainfall,NA,NA,TRUE,mm
op35932,TRUE,785536,90cm D & D Temp,NA,NA,Temperature,NA,NA,TRUE,Degrees-Celcius
op15376,TRUE,456111,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op26337,TRUE,456151,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op26353,TRUE,784210,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op26357,TRUE,794073,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30334,TRUE,773958,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30335,TRUE,773990,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30336,TRUE,774022,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30337,TRUE,774054,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30338,TRUE,774086,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30339,TRUE,774118,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30340,TRUE,774150,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30341,TRUE,774182,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30345,TRUE,774289,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30346,TRUE,774363,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30347,TRUE,774383,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30348,TRUE,774403,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30349,TRUE,774502,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30350,TRUE,774548,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30353,TRUE,777071,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30344,TRUE,785473,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op33583,TRUE,785579,90cm D&D Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30342,TRUE,1285534,90cm D&D Moisture - Front,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op30342,TRUE,774214,90cm D&D Moisture - Sth Wst,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op15382,TRUE,810687,90cm D&D Soil Moisture,NA,NA,Soil-Moisture,80,90,TRUE,Percent
op15376,TRUE,456138,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
op26337,TRUE,456178,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
op26353,TRUE,784288,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
op26357,TRUE,794083,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
op30334,TRUE,773968,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
op30335,TRUE,774000,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
op30336,TRUE,774032,90cm D&D Temp,NA,NA,Soil-Temperature,80,90,TRUE,Degrees-Celcius
