SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
OzNet_k1,TRUE,Oz_k1_ST_4_4,Oz_k1_ST_4_4,,,Soil-Temperature,4,4,TRUE,DegreesCelcius
OzNet_k1,TRUE,Oz_k1_ST_15_15,Oz_k1_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k1,TRUE,Oz_k1_ST_45_45,Oz_k1_ST_45_45,,,Soil-Temperature,45,45,TRUE,DegreesCelcius
OzNet_k1,TRUE,Oz_k1_ST_75_75,Oz_k1_ST_75_75,,,Soil-Temperature,75,75,TRUE,DegreesCelcius
OzNet_k1,TRUE,Oz_k1_SM_0_7,Oz_k1_SM_0_7,,,Soil-Moisture,0,7,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SM_0_30,Oz_k1_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SM_30_60,Oz_k1_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SM_60_90,Oz_k1_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SS_4_4,Oz_k1_SS_4_4,,,Soil-Suction,4,4,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SS_15_15,Oz_k1_SS_15_15,,,Soil-Suction,15,15,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SS_45_45,Oz_k1_SS_45_45,,,Soil-Suction,45,45,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_SS_75_75,Oz_k1_SS_75_75,,,Soil-Suction,75,75,TRUE,Percent
OzNet_k1,TRUE,Oz_k1_RF_0_0,Oz_k1_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_k10,TRUE,Oz_k10_ST_2.5_2.5,Oz_k10_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_k10,TRUE,Oz_k10_ST_15_15,Oz_k10_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k10,TRUE,Oz_k10_SM_0_5,Oz_k10_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_k10,TRUE,Oz_k10_SM_0_30,Oz_k10_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k10,TRUE,Oz_k10_SM_30_60,Oz_k10_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k10,TRUE,Oz_k10_SM_60_90,Oz_k10_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k10,TRUE,Oz_k10_RF_0_0,Oz_k10_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_k11,TRUE,Oz_k11_ST_2.5_2.5,Oz_k11_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_k11,TRUE,Oz_k11_ST_15_15,Oz_k11_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k11,TRUE,Oz_k11_SM_0_5,Oz_k11_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_k11,TRUE,Oz_k11_SM_0_30,Oz_k11_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k11,TRUE,Oz_k11_SM_30_60,Oz_k11_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k11,TRUE,Oz_k11_SM_60_90,Oz_k11_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k11,TRUE,Oz_k11_RF_0_0,Oz_k11_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_k12,TRUE,Oz_k12_ST_2.5_2.5,Oz_k12_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_k12,TRUE,Oz_k12_ST_15_15,Oz_k12_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k12,TRUE,Oz_k12_SM_0_5,Oz_k12_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_k12,TRUE,Oz_k12_SM_0_30,Oz_k12_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k12,TRUE,Oz_k12_SM_30_60,Oz_k12_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k12,TRUE,Oz_k12_SM_60_90,Oz_k12_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k12,TRUE,Oz_k12_RF_0_0,Oz_k12_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_k13,TRUE,Oz_k13_ST_2.5_2.5,Oz_k13_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_k13,TRUE,Oz_k13_ST_15_15,Oz_k13_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k13,TRUE,Oz_k13_SM_0_5,Oz_k13_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_k13,TRUE,Oz_k13_SM_0_30,Oz_k13_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k13,TRUE,Oz_k13_SM_30_60,Oz_k13_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k13,TRUE,Oz_k13_SM_60_90,Oz_k13_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k13,TRUE,Oz_k13_RF_0_0,Oz_k13_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_k14,TRUE,Oz_k14_ST_2.5_2.5,Oz_k14_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_k14,TRUE,Oz_k14_ST_15_15,Oz_k14_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k14,TRUE,Oz_k14_SM_0_5,Oz_k14_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_k14,TRUE,Oz_k14_SM_0_30,Oz_k14_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k14,TRUE,Oz_k14_SM_30_60,Oz_k14_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k14,TRUE,Oz_k14_SM_60_90,Oz_k14_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k14,TRUE,Oz_k14_RF_0_0,Oz_k14_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_k2,TRUE,Oz_k2_ST_4_4,Oz_k2_ST_4_4,,,Soil-Temperature,4,4,TRUE,DegreesCelcius
OzNet_k2,TRUE,Oz_k2_ST_15_15,Oz_k2_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_k2,TRUE,Oz_k2_ST_45_45,Oz_k2_ST_45_45,,,Soil-Temperature,45,45,TRUE,DegreesCelcius
OzNet_k2,TRUE,Oz_k2_ST_75_75,Oz_k2_ST_75_75,,,Soil-Temperature,75,75,TRUE,DegreesCelcius
OzNet_k2,TRUE,Oz_k2_SM_0_7,Oz_k2_SM_0_7,,,Soil-Moisture,0,7,TRUE,Percent
OzNet_k2,TRUE,Oz_k2_SM_0_30,Oz_k2_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_k2,TRUE,Oz_k2_SM_30_60,Oz_k2_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_k2,TRUE,Oz_k2_SM_60_90,Oz_k2_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_k2,TRUE,Oz_k2_SS_4_4,Oz_k2_SS_4_4,,,Soil-Suction,4,4,TRUE,Percent
OzNet_k2,TRUE,Oz_k2_SS_15_15,Oz_k2_SS_15_15,,,Soil-Suction,15,15,TRUE,Percent
OzNet_k2,TRUE,Oz_k2_SS_45_45,Oz_k2_SS_45_45,,,Soil-Suction,45,45,TRUE,Percent
