SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
OzNet_y1,TRUE,Oz_y1_ST_2.5_2.5,Oz_y1_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_y1,TRUE,Oz_y1_ST_15_15,Oz_y1_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_y1,TRUE,Oz_y1_SM_0_5,Oz_y1_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_y1,TRUE,Oz_y1_SM_0_30,Oz_y1_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_y1,TRUE,Oz_y1_SM_30_60,Oz_y1_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_y1,TRUE,Oz_y1_SM_60_90,Oz_y1_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_y1,TRUE,Oz_y1_RF_0_0,Oz_y1_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_y10,TRUE,Oz_y10_ST_2.5_2.5,Oz_y10_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_y10,TRUE,Oz_y10_ST_15_15,Oz_y10_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_y10,TRUE,Oz_y10_SM_0_5,Oz_y10_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_y10,TRUE,Oz_y10_SM_0_30,Oz_y10_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_y10,TRUE,Oz_y10_SM_30_60,Oz_y10_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_y10,TRUE,Oz_y10_SM_60_90,Oz_y10_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_y10,TRUE,Oz_y10_RF_0_0,Oz_y10_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_y11,TRUE,Oz_y11_ST_2.5_2.5,Oz_y11_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_y11,TRUE,Oz_y11_ST_15_15,Oz_y11_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_y11,TRUE,Oz_y11_SM_0_5,Oz_y11_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_y11,TRUE,Oz_y11_SM_0_30,Oz_y11_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
OzNet_y11,TRUE,Oz_y11_SM_30_60,Oz_y11_SM_30_60,,,Soil-Moisture,30,60,TRUE,Percent
OzNet_y11,TRUE,Oz_y11_SM_60_90,Oz_y11_SM_60_90,,,Soil-Moisture,60,90,TRUE,Percent
OzNet_y11,TRUE,Oz_y11_RF_0_0,Oz_y11_RF_0_0,,,Rainfall,0,0,TRUE,mm
OzNet_y12,TRUE,Oz_y12_ST_2.5_2.5,Oz_y12_ST_2.5_2.5,,,Soil-Temperature,2.5,2.5,TRUE,DegreesCelcius
OzNet_y12,TRUE,Oz_y12_ST_15_15,Oz_y12_ST_15_15,,,Soil-Temperature,15,15,TRUE,DegreesCelcius
OzNet_y12,TRUE,Oz_y12_SM_0_5,Oz_y12_SM_0_5,,,Soil-Moisture,0,5,TRUE,Percent
OzNet_y12,TRUE,Oz_y12_SM_0_30,Oz_y12_SM_0_30,,,Soil-Moisture,0,30,TRUE,Percent
