SiteID,SiteName,Provider,Backend,Access,Usr,Pwd,SeverName,Latitude,Longitude,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
Cosmoz_1,Baldry,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-32.87000,148.54000,Cosmoz1_Rainfall,Cosmoz_1_Rainfall,2011-03-30T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_2,Daly,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-14.16000,131.39000,Cosmoz2_Rainfall,Cosmoz_2_Rainfall,2011-06-07T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_3,Gnangara,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-31.38000,115.71000,Cosmoz3_Rainfall,Cosmoz_3_Rainfall,2011-05-11T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_4,Griffith,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-34.25270,146.12020,Cosmoz4_Rainfall,Cosmoz_4_Rainfall,2011-10-01T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_5,Norwin (Uncalibrated),Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-27.57000,151.31000,Cosmoz5_Rainfall,Cosmoz_5_Rainfall,2011-03-30T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_6,Robson,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-17.12000,145.63000,Cosmoz6_Rainfall,Cosmoz_6_Rainfall,2010-10-28T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_7,Temora,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-34.40000,147.53000,Cosmoz7_Rainfall,Cosmoz_7_Rainfall,2013-05-13T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_8,Tullochgorum,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-41.67000,147.91000,Cosmoz8_Rainfall,Cosmoz_8_Rainfall,2010-12-15T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_9,Tumbarumba,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-35.65600,148.15200,Cosmoz9_Rainfall,Cosmoz_9_Rainfall,2011-04-03T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
Cosmoz_10,Weany,Cosmoz,Cosmoz,Public,,,http://cosmoz.csiro.au,-19.88000,146.54000,Cosmoz10_Rainfall,Cosmoz_10_Rainfall,2010-12-01T00:00:00Z,NA,Rainfall,NA,NA,TRUE,mm
